Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_RR,o00407-0300000040011.logjez,03000,0004,1015,0011,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5A434CF5
2022_2t_RR,o00407-0300000040012.logjez,03000,0004,1015,0012,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D9BEEE10
2022_2t_RR,o00407-0300000040013.logjez,03000,0004,1015,0013,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,11549FFC
2022_2t_RR,o00407-0300000040014.logjez,03000,0004,1023,0014,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,A164149A
2022_2t_RR,o00407-0300000040015.logjez,03000,0004,1023,0015,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,0E926E87
2022_2t_RR,o00407-0300000040016.logjez,03000,0004,1031,0016,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,F7C04159
2022_2t_RR,o00407-0300000040017.logjez,03000,0004,1023,0017,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,06057D4C
2022_2t_RR,o00407-0300000040018.logjez,03000,0004,1023,0018,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,06E0283A
2022_2t_RR,o00407-0300000040019.logjez,03000,0004,1031,0019,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,0DB51DF8
2022_2t_RR,o00407-0300000040020.logjez,03000,0004,1031,0020,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,C13ED784
2022_2t_RR,o00407-0300000040053.logjez,03000,0004,1015,0053,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,229790C6
2022_2t_RR,o00407-0300000040063.logjez,03000,0004,1040,0063,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,02DC1530
2022_2t_RR,o00407-0300000040064.logjez,03000,0004,1031,0064,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,0067FB6B
2022_2t_RR,o00407-0300000040065.logjez,03000,0004,1058,0065,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7FAEFE64
2022_2t_RR,o00407-0300000040074.logjez,03000,0004,1023,0074,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,3C1E1F95
2022_2t_RR,o00407-0300000040075.logjez,03000,0004,1023,0075,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,906DCA59
2022_2t_RR,o00407-0300000040084.logjez,03000,0004,1139,0084,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,F10B5FC1
2022_2t_RR,o00407-0300000040089.logjez,03000,0004,1031,0089,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,2141DEF4
2022_2t_RR,o00407-0300000040092.logjez,03000,0004,1120,0092,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,43C07957
2022_2t_RR,o00407-0300000040099.logjez,03000,0004,1139,0099,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,4BACEB7B
2022_2t_RR,o00407-0300000040104.logjez,03000,0004,1023,0104,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,5B9F82B1
2022_2t_RR,o00407-0300000040107.logjez,03000,0004,1120,0107,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,67A676D4
2022_2t_RR,o00407-0300000040123.logjez,03000,0004,1023,0123,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,61C022F0
2022_2t_RR,o00407-0300000040125.logjez,03000,0004,1015,0125,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2D137B26
2022_2t_RR,o00407-0300000040126.logjez,03000,0004,1031,0126,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,BB2382A5
2022_2t_RR,o00407-0300000040131.logjez,03000,0004,1023,0131,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,EF3DC6E1
2022_2t_RR,o00407-0301800010001.logjez,03018,0001,1015,0001,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,9E2C392C
2022_2t_RR,o00407-0301800010002.logjez,03018,0001,1015,0002,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,CC297730
2022_2t_RR,o00407-0301800010003.logjez,03018,0001,1015,0003,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,33FFB394
2022_2t_RR,o00407-0301800010004.logjez,03018,0001,1015,0004,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,87CE21B5
2022_2t_RR,o00407-0301800010005.logjez,03018,0001,1015,0005,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,1BFFBDE4
2022_2t_RR,o00407-0301800010006.logjez,03018,0001,1015,0006,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,B3935711
2022_2t_RR,o00407-0301800010007.logjez,03018,0001,1481,0007,8.26.0.0 - Onça-pintada,1º turno,UE2020,Oficial,B692ED5A
